Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
ňzb	zinniinae 1	zinnia (genus Zinnia)	echinacea, coneflower (genus Echinacea)	smooth oxeye, mountain oxeye, gold root, pinewoods oxeye, rough oxeye (genus Heliopsis)												
ňzbl	ecliptinae 2	creeping-oxeye (genus Sphagneticola)	wedelia, creeping-oxeye (genus Wedelia)	nodeweed (genus Synedrella)												
ňzbr	ecliptinae 3	beautyhead (genus Baltimora)	jefea (genus Jefea)	straggler daisy/horseherb/lawnflower/creeping Cinderella-weed (genus Calyptocarpus)												
ňzbř	spilanthinae	paracress/toothache plant/tingflowers/electric daisy/buzz buttons/Sichuan buttons, Spilanthes, spotflower (genus Acmella)	other spilanthine plant (genera Oxycarpha, Salmea, Spilanthes, Tetranthus)	n/a												
ňzbv	ambrosiinae	ragweed, bursage, marko, altamisa, Roman wormwood, beach-bur, ambrosia, burrobush, lagoonweed (genus Ambrosia)	feverfew, wild quinine, whitetop weed, guayule (genus Parthenium)	other ambrosiine plant (Ambrosiinae except genera Ambrosia, Parthenium)												
ňzbw	zinniinae 2	creeping zinnia (genus Sanvitalia)	other zinniid plant (genera Philactis, Tehuana, Trichocoryne)	n/a												
ňzby	ecliptinae 1	squarestem (genus Melanthera)	false daisy (genus Eclipta)	nehe (genus Lipochaeta)												
nzd	brine	(an instance/some amount of) brine	a state of being made of brine	characteristics of brine												
nžd	amygdaloideae 6	false spiraea/false goat’s beard (genus Sorbaria)	fern bush/desert sweet (genus Chamaebatiaria)	chamise, redshanks/ribbonwood/ribbon bush (genus Adenostoma)												
ňzd	sulfur	sulfur	S cation	S anion												
ňzdl	polonium	polonium	Po cation	Po anion												
nzdr	measuring square/measuring compass/protractor	measuring square	measuring compass	protractor												
ňzdr	livermorium	livermorium	Lv cation	Lv anion												
nždw	amygdaloideae 7	spiraea, bridewort, meadowsweet, hardhack/steeplebush (genus Spiraea)	rockmat, mat rock spiraea (genus Petrophytum)	partridgefoot/luetkea (genus Luetkea)												
ňzdw	selenium	selenium	Se cation	Se anion												
nždy	amygdaloideae 8	ocean spray/creambush, mountain spray/rock-spiraea (genus Holodiscus)	goatsbeard (genus Aruncus)	other amygdaloid plant/tree/shrub (other Amygdaloideae)												
ňzdy	tellurium	tellurium	Te cation	Te anion												
nzf	relief/triumph from getting away from undesired events	relief/triumph from surviving/overcoming a danger	guilty relief/triumph from getting away from a mischief	guilty relief/triumph from getting away from a crime												
ňzf	sperguleae	spurry/spurrey, stickwort (genus Spergula)	sea-spurrey/sandspurry (genus Spergularia)	other spergulid plant (genus Rhodalsine)												
ňzfw	sileneae 1	catchfly, campion, gunpowder plant, silene, fire pink, Indian pink (genus Silene previously not classified in genus Lychnis)	catchfly, white cockle, Maltese cross, ragged robin, flower-of-Jove, campion (genus Silene previously classified in genus Lychnis)	corncockle, corn-pink (genus Agrostemma)												
ňzfy	sileneae 2	falguera (genus Petrocoptis)	rose catchfly, rose of heaven (genus Eudianthe)	other silenid plant (other Sileneae)												
nzg	hard keratinous tissue	fingernail/toenail/claw	hoof	animal horn												
ňzg	enceliinae 1	brittlebrush, encelia, noddinghead/nodding sunray (genus Encelia)	sunray, Panamint daisy (genus Enceliopsis)	desert sunflower, desert gold, geraea (genus Geraea)												
ňžg	edible brown alga (kelp) 1	kombu, haidai seaweed, oarweed (genus Laminaria)	kombu (genus Saccharina)	wakame, hiromi (genus Undaria)												
nzgl	pluteaceae 2	other pluteaceous mushroom (other Pluteaceae)	pterulaceous mushroom (Pterulaceae)	radulomytaceous mushroom (Radulomytaceae)												
ňzgl	engelmanniinae 2	rosinweed (genus Silphium)	mule’s ears, black sunflower, California compassplant, wyethia (genus Wyethia)	balsamroot (genus Balsamorhiza)												
ňžgl	edible brown alga (kelp) 4	sugar kelp/sea belt/Devil’s apron (genus Kjellmaniella)	bladderwrack, spiral wrack (genus Fucus)	channelled wrack (genus Pelvetia)												
nzgr	pleurotineae	oyster, abalone, or king tuber mushroom (genus Pleurotus)	other pleurotaceous mushroom (other Pleurotaceae)	other agaricales fungus (other Agaricales)												
ňzgr	engelmanniinae 3	golden-knee/green-and-gold/goldenstar (genus Chrysogonum)	seaside tansy, sea-oxeye (genus Borrichia)	Mexican green-eyed sunflower (genus Vigethia)												
ňzgř	verbesininae	crownbeard, wingstem/yellow ironweed, goldweed/butter daisy/American dogweed, gravelweed, stick weed, frostweed (genus Verbesina)	other verbesinine plant (genera Podachaenium, Squamopappus, Tetrachyron)	n/a												
ňžgr	edible brown alga (kelp) 5	thongweed (genus Himanthalia)	hiziki (genus Hizikia)	mozuku (genus Cladosiphon)												
ňžgř	edible brown alga (kelp) 6	ito-mozuku (genus Nemacystus)	futo mozuku (genus Tinocladia)	ishi-mozuku (genus Sphaerotrichia)												
ňzgv	heliantheae	black-eyed-susan (genus Rudbeckia)	rojasianthe (genus Rojasianthe)	other helianthid plant (other Heliantheae)												
ňžgv	unusual brown alga (kelp)	sargasso kelp (genus Sargassum)	chrysoparadoxa (genus Chrysoparadoxa)	other paeophyte/brown alga (other Phaeophyceae)												
nzgw	amanitaceae	Caesar’s mushroom (Amanita caesaria)	fly agaric, blusher mushroom, panther cap, death cap, orange spring amanita, destroying angel (genus Amanita)	other amanitaceous mushroom (other Amanitaceae)												
ňzgw	enceliinae 2	tarbush, tarwort (genus Flourensia)	little sunflower (genus Helianthella)	n/a												
ňžgw	edible brown alga (kelp) 2	arame/sea oak (genus Eisenia)	winged kelp, badderlocks (genus Alaria)	paddle weed/kajime/noro-kajime (genus Ecklonia)												
nzgy	pluteaceae 1	deer mushroom/deer shield/fawn mushroom (Pluteus cervinus)	knackers crumpet (Pluteus salicinus)	straw mushroom (genus Volvariella)												
ňzgy	engelmanniinae 1	Engelmann’s daisy/cutleaf daisy (genus Engelmannia)	greeneyes (genus Berlandiera)	Texas yellow star/Texas star (genus Lindheimera)												
ňžgy	edible brown alga (kelp) 3	rimurapa/cochayuyo (genus Durvillaea)	sea palm/palm seaweed (genus Postelsia)	bull/bullwhip/ribbon kelp (genus Nereocystis)												
nzh	ramp/gangway/portable bridge/bracing/crossbeam	ramp	gangway/portable bridge	bracing/crossbeam												
nžh	bridge/winch/boom	bridge	winch/windlass	boom												
nžk	urticaceae 1	nettle, stinging nettle, creeping nettle, swamp nettle (genus Urtica)	nettle tree, stinging tree, bympie-bympie, lip tree (genus Dendrocnide)	Hawaii nettle, western nettle (genus Hesperocnide)												
ňzk	polemoniaceae	phlox (genus Phlox)	linanthus, desert snow, desertbeauty, evening snow, sandblossom, granite prickly-phlox (genus Linanthus)	Jacob’s-ladder, gilyflower, gillia, trumpet flower, woollystars, gymnosteris, Arizona firecracker, ipomopsis, skyrocket, standing cypress, calico (Polemoniaceae except genera Phlox, Linanthus)												
ňžk	polystyrene	(an instance/some amount of) polystyrene	a state of being made of polystyrene	characteristics of polystyrene												
nžkç	ulmaceae 1	elm (genus Ulmus)	zelkova (genus Zelkova)	thorn-elm (genus Hemiptelea)												
ňžkç	plexiglass (polymethyl methacrylate)	(an instance/some amount of) plexiglass	a state of being made of plexiglass	characteristics of plexiglass												
nžkf	cannabaceae 2	blue sandalwood/Tara wingceltis (genus Pteroceltis)	thorny elm (genus Chaetachme)	other cannabaceous plant (other Cannabaceae)												
ňzkf	sapotaceae 3	gutta-percha tree (genus Palaquium)	bully tree (genus Sideroxylon)	other sapotaceous tree/plant (other Sapotaceae)												
ňžkf	linoleum	(an instance/some amount of) linoleum	a state of being made of linoleum	characteristics of linoleum												
ňzkh	lecythidaceae	brazil nut tree (genus Bertholletia)	paradise nut tree/monkey pot tree/sapucaia (genus Lecythis)	freshwater mangrove, mango-pine, itchytree, powder-puff tree (genus Barringtonia)												
ňžkh	epoxy (i.e., polyepoxide)	(an instance/some amount of) epoxy	a state of being made of epoxy	characteristics of epoxy												
ňzkhw	ericales 3	other lecythidaceous tree (Lecythidaceae except genera Bertholletia, Lecythis, Barringtonia)	other ericales plant (Sladeniaceae, Marcgraviaceae, Mitrastemonaceae, Pentaphylacaceae)	n/a												
nžkl	urticaceae 4	Amazon grape/Amazon tree-grape/uvilla (genus Pourouma)	giant yellow mulberry/monkey fruit (genus Myrianthus)	pumpwood, cecropia, trumpet tree, guarumo (genus Cecropia)												
ňzkl	primulaceae 4	colicwood, red matipo, Cape myrtle/African boxwood (genus Myrsine)	loosestrife, swamp candle (genus Lysimachia previously not classified in genera Anagallis, Trientalis)	snowbell, featherfoil, Joewood, other primulaceous plant (other Primulaceae)												
ňžkl	polypropylene	(an instance/some amount of) polypropylene	a state of being made of polypropylene	characteristics of polypropylene												
ňzkm	primulaceae 2	brookweed, water pimpernel, water cabbage, water rose (genus Samolus)	maesa, false assegai (genus Maesa)	embelia, false black pepper, bitter leaf (genus Embelia)												
nžkr	urticaceae 5	mamaki, Waimea pipturus (genus Pipturus)	maʻoloa (genus Neraudia)	other urticaceous plant (other Urticaceae)												
nžkř	cannabaceae 1	cannabis, hemp, marijuana plant (genus Cannabis)	hop plant (genus Humulus)	hackberry, nettle tree, lote tree, white stinkwood, cottonwood, tala, almex (genus Celtis)												
ňzkr	sapotaceae 1	bulletwood/balatá/ausubo/massaranduba/cow-tree, chicle, bully tree, nispero, sapotilla, sapota/sapodilla/naseberry, wild dilly (genus Manilkara)	pouteria, eggfruit, abiu, lúcuma, mamey sapote, canistel, green sapote, shiny-leaved condoo/black plum (genus Pouteria)	shea tree (genus Vitellaria)												
ňzkř	sapotaceae 2	miracle berry/sweet berry plant (genus Synsepalum)	tar apple/star apple/golden leaf tree/milk fruit/cainito, Damson plum/wild star-apple/caimitillo, milkwood (genus Chrysophyllum)	makore wood tree (genus Tieghemella)												
ňžkr	polycarbonate	(an instance/some amount of) polycarbonate	a state of being made of polycarbonate	characteristics of polycarbonate												
ňžkř	fiberglass	(an instance/some amount of) fiberglass	a state of being made of fiberglass	characteristics of fiberglass												
ňzks	ericales 1	balsam, jewelweed, touch-me-not, parrot flower, Congo cockatoo, impatiens, policeman’s helmet, poor man’s rhododendron, busy lizzie, patience, snapweed (genera Impatiens, Hydrocera)	wandplant/wandflower/beetleweed, pixiemoss, Oconee bells/acony bell, pincushion plant (Diapensiaceae)	ocotillo plant, boojum tree/cirio (genus Fouquieria)												
ňzkš	ericales 2	dewstick/fly bush (genus Roridula)	sweetleaf, sapphireberry (genus Symplocos)	tea mangrove (genera Pelliciera, Pentamerista, Tetramerista)												
nžkţ	ulmaceae 2	Indian elm/jungle cork tree (genus Holoptelea)	planertree/water elm (genus Planera)	other ulmaceous tree (genera Ampelocera, Phyllostylon)												
ňzkţ	sarraceniaceae	trumpet pitcher plant (genus Sarracenia)	California pitcher plant/cobra lily/cobra plant (genus Darlingtonia)	sun pitcher plant (genus Heliamphora)												
ňžkţ	polyurethane	(an instance/some amount of) polyurethane	a state of being made of polyurethane	characteristics of polyurethane												
ňzkv	styracaceae	silverbell/snowdrop tree (genus Halesia)	epaullete tree (genus Pterostyrax)	storax, snowbell, other styaracaceous plant (Styracaceae except genera Halesia, Pterostyrax)												
nžkw	urticaceae 2	woodnettle (genus Laportea)	flameberry, hopue, scratchbush, climbing-nettle (genus Urera)	New Zealand begonia/parataniwha (genus Elatostema)												
ňzkw	primulaceae 1	primrose, cowslip, auricula/bear’s ear, oxlip, glory-of-the-marsh, shootingstar/mosquito-bill/sailor caps (genus Primula)	ardisia, marlberry, coral bush/coralberry/spiceberry, duck’s eye (genus Ardisia)	pimpernel, weather-glass, shepherd’s clock (genus Lysimachia previously classified in genus Anagallis)												
ňžkw	"polystyrene foam (""styrofoam"")"	(an instance/some amount of) polystyrene foam	a state of being made of polystyrene foam	characteristics of polystyrene foam												
nžky	urticaceae 3	baby’s tears/angel’s tears/bits and pieces/bread and cheese/Corsican creeper/Corsican curse/friendship plant, mind-your-own-business/mother of thousands/Paddy’s wig/Pollyanna vine (genus Soleirolia)	pellitory, lichwort, asthma (genus Parietaria)	silver springkles, friendship plant, artillery plant/gunpowder plant, Moon Valley plant/creeping Charlie, chinese money plant/missionary plant, Canadian clearweed, black-leaf panamiga (genus Pilea)												
ňzky	primulaceae 3	starflower, chickweed-wintergreen (genus Lysimachia previously classified in genus Trientalis)	rock-jasmine, Northern fairy candelabra, androsace (genus Androsace)	sowbread, swinebread (genus Cyclamen)												
ňžky	polyethylene	(an instance/some amount of) polyethylene	a state of being made of polyethylene	characteristics of polyethylene												
nzl	circle	circle outline	circle	negative space of a circle												
nžl	maleae 4	whitebeam (genus Aria)	service-tree/sorb tree (genus Cormus)	wild service-tree, chequers/checker tree (genus Torminalis)												
ňzl	mucus/phlegm/sputum/rheum	mucus	phlegm/sputum	rheum												
nzm	rounded square	rounded square outline	rounded square	negative space of a rounded square												
ňzm	mucosal tissue	inside surface of oral/naso-pharyngeal cavity	interior lining of gastro-intestinal tract	interior lining of bodily orifice (anus/rectum, vaginal canal, etc.)												
nžmw	dryadoideae 1	avens (genus Dryas)	mountain misery, bearclover/kit-kit-dizze (genus Chamaebatia)	mountain mahogany (genus Cercocarpus)												
nžmy	dryadoideae 2	cliffrose, bitterbrush (genus Purshia previously not classified in genus Cowania)	evergreen cliffrose (genus Purshia previously classified in genus Cowania)	n/a												
nzn	cylinder	cylinder	hollow cylinder	cylinder lattice												
nzň	inflated ball	inflated ball (e.g., volleyball, football/soccer, tetherball, basketball, European handball, polo)	prolate spheroid shaped ball (e.g., rugby, American football, Australian football)	beachball												
