Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
bzl	squirrel	ground squirrel, Asian ornate squirrel, Oriental giant squirrel (Ratufinae, Callosciurinae, Xerinae except Marmotina, Tamiina)	tree squirrel, neotropical pygmy squirrel (Sciurini, Sciurillinae)	flying squirrel (Pteromyini)												
bžl	beaked whale	giant beaked whale (genus Berardius)	bottlenose whale (genus Hyperoodon)	small beaked whale (genera Indopacetus, Mesoplodon, Tasmacetus, Ziphius)												
bzlw	thoraco-vertebral ligament 1	anterior sacrococcygeal ligament	posterior sacrococcygeal ligament	intra-articular ligament												
bzly	vertebral ligament 1	iliolumbar ligament	anterior atlanto-axial ligament	posterior atlanto-axial ligament												
bzm	rat	🐀 rat (Murinae, Lophiomyinae, Leimacomyinae)	cotton, rice, marsh, fish-eating, water, forest, swamp, bunny, cony, giant, vesper, or climbing rat, tapecua (Sigmodontinae, Tylomyini)	wood, isthmus, hamster, (giant) pouched, tufted-tail, short-tailed, brush-furred, or link rat, antsangy (Neotominae, Nyctomyini, Nesomyidae, Deomyinae)												
bžm	porpoise	porpoise (genus Phocoena)	finless porpoise (genus Neophocoena)	Dall's porpoise (genus Phocoenoides)												
bzn	mouse	🐁 mouse (Muridae)	South Americal water, bristly, spiny, cane, montaine, arboreal, climbing, Oldfield, grass, long-clawed, bolo, cerrado, chaco, vesper, big-eared, chincilla, gerbil, or leaf-eared mouse, brucie, hocidudo (Sigmodontinae)	pygmy, deer, harvest, grasshopper, pouched, climbing, African fat, big-footed, island, (pygmy) rock, brush-furred, or spiny mouse, voalavo (Neotominae, Nesomyidae, Deomyinae)												
bzň	boxing ring/trampoline/caged ring	boxing ring	trampoline	caged ring, enclosed ring												
bžn	monodont delphinoid	beluga whale, white whale (genus Delphinapterus)	narwhal (genus Monodon)	n/a												
bzpç	synspermiatic (haplogyne) spider 6	spitting spider (Scytodidae)	long-legged cave spider (Telemidae)	other synspemiatic (haplogyne) spider (other Synspermiata)												
bzpf	synspermiatic (haplogyne) spider 4	goblin spider/dwarf hunting spider (Oonopidae)	midget ground weaver spider (Ochyroceratidae)	tragloraptor spider (genus Tragloraptor)												
bzph	palpimanoid spider 1	assassin spider/pelican spider (Archaeidae)	stenochild spider (genera Colopea, Stenochilus)	palp-foot spider (Palpimanidae)												
bzphw	palpimanoid spider 2	mecysmaucheniid spider (Mecysmaucheniidae)	huttonia spider (genus Huttonia)	n/a												
bzpl	synspermiatic (haplogyne) spider 1	coneweb spider (genera Diguetia, Segestrioides)	plectreurid spider (genera Kibramoa, Plectreurys)	pacullid spider (Pacullidae)												
bzpļ	synspermiatic (haplogyne) spider 5	recluse spider, violin spider, sand spider (genera Loxosceles, Hexophthalma, Sicarius)	false violin spider (genera Drymusa, Izithunzi)	periegops spider (genus Periegops)												
bzpr	synspermiatic (haplogyne) spider 2	armoured spider (Tetrablemmidae)	daddy long-legs/cellar spider/carpenter spider/vibrating spider/skull spider (Phlocidae)	caponiid spider (Caponiidae)												
